              mu	           sigma	          energy	      acceptance	
        0.817378	        0.619481	    -4.46763e+12	       0.0117647	
        0.817378	        0.619481	    -4.46763e+12	       0.0116279	
        0.817378	        0.619481	    -4.46763e+12	       0.0114943	
        0.817378	        0.619481	    -4.46763e+12	       0.0113636	
        0.817378	        0.619481	    -4.46763e+12	        0.011236	
        0.817378	        0.619481	    -4.46763e+12	       0.0111111	
        0.817378	        0.619481	    -4.46763e+12	        0.010989	
        0.817378	        0.619481	    -4.46763e+12	       0.0108696	
        0.817378	        0.619481	    -4.46763e+12	       0.0107527	
        0.817378	        0.619481	    -4.46763e+12	       0.0106383	
        0.817378	        0.619481	    -4.46763e+12	       0.0105263	
        0.817378	        0.619481	    -4.46763e+12	       0.0104167	
        0.817378	        0.619481	    -4.46763e+12	       0.0103093	
        0.817378	        0.619481	    -4.46763e+12	       0.0102041	
        0.817378	        0.619481	    -4.46763e+12	        0.010101	
        0.817378	        0.619481	    -4.46763e+12	            0.01	
